RF00002,5.8S ribosomal RNA,
RF00003,U1 spliceosomal RNA,
RF00004,U2 spliceosomal RNA,
RF00005,tRNA,
RF00006,Vault RNA,
RF00007,U12 minor spliceosomal RNA,
RF00008,Hammerhead ribozyme (type III),
RF00009,Nuclear RNase P,
RF00010,Bacterial RNase P class A,
RF00011,Bacterial RNase P class B,
RF00012,Small nucleolar RNA U3,
RF00013,6S / SsrS RNA,
RF00014,DsrA RNA,
RF00015,U4 spliceosomal RNA,
RF00016,Small nucleolar RNA SNORD14,C/D
RF00017,Eukaryotic type signal recognition particle RNA,
RF00069,Small nucleolar RNA SNORD24,C/D,
RF00070,Small nucleolar RNA SNORD29,C/D,
RF00071,Small nucleolar RNA SNORD73,C/D,
RF00072,Small nucleolar RNA SNORA75,H/ACA,
RF00073,mir-156 microRNA precursor,mir-156,MIPF0000008
RF00074,mir-29  microRNA precursor,mir-29,MIPF0000009
RF00075,mir-166 microRNA precursor,mir-166,MIPF0000004
RF00076,mir-181 microRNA precursor,mir-181,MIPF0000007
RF00077,SraB RNA,,
RF00078,SraD RNA,,
RF00079,SraE_OmrA_OmrB family RNA,,
RF00080,yybP-ykoY leader,,
RF00081,SraH RNA,,
RF00082,SraG RNA,,
RF00083,GlmZ RNA activator of glmS mRNA,,
RF00084,CsrC RNA family,,
RF00085,Small nucleolar RNA SNORD28,C/D,
RF00086,Small nucleolar RNA SNORD27,C/D,
RF00087,Small nucleolar RNA SNORD26,C/D,
RF00088,Small nucleolar RNA SNORD30,C/D,
RF00089,Small nucleolar RNA SNORD31,C/D,
RF00090,Small nucleolar RNA SNORA74,H/ACA,
RF00091,Small nucleolar RNA SNORA62/SNORA6 family,H/ACA,
RF00092,Small nucleolar RNA SNORA63,H/ACA,
RF00093,Small nucleolar RNA SNORD18,C/D,
RF00094,Hepatitis delta virus ribozyme,,
RF00095,Pyrococcus C/D box small nucleolar RNA,,
RF00096,U8 small nucleolar RNA,C/D,5.8S/28S
RF00097,Plant small nucleolar RNA R71,C/D,
RF00098,Snake H/ACA box small nucleolar RNA,H/ACA,
RF00099,Small nucleolar RNA SNORD22,C/D,
RF00100,7SK RNA,,
RF00101,SraC/RyeA RNA,,
RF00102,VA RNA,,
RF00103,mir-1 microRNA precursor family,mir-1,
RF00104,mir-10 microRNA precursor family,mir-10,MIPF0000033/MIPF0000025/MIPF0000268/MIPF0000271
RF00105,Small nucleolar RNA SNORD115,C/D,
RF00106,RNAI,,
RF00107,FinP,,
RF00108,Small nucleolar RNA SNORD116,C/D,"PWS, brain-specific"
RF00109,Vimentin 3' UTR protein-binding region,,
RF00110,RybB RNA,,
RF00111,RyeB RNA,,
RF00112,CyaR/Rye RNA,,
RF00113,QUAD RNA,,
RF00114,Ribosomal S15 leader,,
RF00115,IS061 RNA,,
RF00116,C0465 RNA,,
RF00117,C0719 RNA,,
RF00118,rydB RNA,,
RF00119,C0299 RNA,,
RF00120,C0343 RNA,,
RF00121,MicC RNA,,
RF00122,GadY,,
RF00124,IS102 RNA,,
RF00125,IS128 RNA,,
RF00126,ryfA RNA,,
RF00127,t44 RNA,,
RF00128,Glm Y RNA activator of glmS mRNA,,
RF00129,mir-103/107 microRNA precursor,mir-103,MIPF0000024
RF00130,mir-192/215 microRNA precursor,mir-192,MIPF0000063
RF00131,mir-30 microRNA precursor,mir-30,
RF00132,Small nucleolar RNA R24,C/D,
RF00133,Small nucleolar RNA Z195/SNORD33/SNORD32 family,C/D,18S
RF00134,Small nucleolar RNA Z196/R39/R59 family,C/D,
RF00135,Small nucleolar RNA Z223,C/D,
RF00136,Small nucleolar RNA SNORD81,C/D,
RF00137,Small nucleolar RNA SNORD83,C/D,
RF00138,Small nucleolar RNA SNORD16,C/D,
RF00139,Small nucleolar RNA SNORA72,H/ACA,5.8S
RF00140,Alpha operon ribosome binding site,,
RF00142,Small nucleolar RNA Z118/Z121/Z120,C/D,
RF00143,mir-6 microRNA precursor,mir-6,
RF00144,mir-199 microRNA precursor,mir-199,
RF00145,Small nucleolar RNA Z105,C/D,
RF00147,Small nucleolar RNA SNORD34,C/D,25S
RF00149,Small nucleolar RNA Z103,C/D,
RF00150,Small nucleolar RNA SNORD42,C/D,18S (U116)
RF00151,Small nucleolar RNA SNORD58,C/D,28S (G4198)
RF00152,Small nucleolar RNA SNORD79,C/D,28S (A3809)
RF00153,Small nucleolar RNA SNORD62,C/D,18S (A590)
RF00154,Small nucleolar RNA SNORD63,C/D,28S (A4531)
RF00155,Small nucleolar RNA SNORA66,H/ACA,18S (U119)
RF00156,Small nucleolar RNA SNORA70,H/ACA,18S (U1692)
RF00157,Small nucleolar RNA SNORD55/SNORD39,C/D,28S (C2791)
RF00158,Small nucleolar RNA SNORD82,C/D,18S (A1678)
RF00159,Small nucleolar RNA Z168/Z174,C/D,
RF00160,Small nucleolar RNA Z159/U59,C/D,
RF00161,Nanos 3' UTR translation control element,,
RF00162,SAM riboswitch (S box leader),,
RF00163,Hammerhead ribozyme (type I),,
RF00164,Coronavirus 3' stem-loop II-like motif (s2m),,
RF00165,Coronavirus 3' UTR pseudoknot,,
RF00166,PrrB/RsmZ RNA family,,
RF00167,Purine riboswitch,,
RF00168,Lysine riboswitch,,
RF00169,Bacterial signal recognition particle RNA,,
RF00170,Retron msr RNA,,
RF00171,Tombusvirus 5' UTR,,
RF00172,ctgf/hcs24 CAESAR,,
RF00173,Hairpin ribozyme,,
RF00174,Cobalamin riboswitch,,
RF00175,Human immunodeficiency virus type 1 dimerisation initiation site,,
RF00176,Tombusvirus 3' UTR region IV,,
RF00177,Small subunit ribosomal RNA,,
RF00178,mir-24 microRNA precursor family,mir-24,MIPF0000041/Redution of ALK4/Regulation of DHFR
RF00179,GAIT element,,
RF00180,Renin stability regulatory element (REN-SRE),,
RF00181,Small nucleolar RNA SNORD113/SNORD114 family,C/D,no known targets
RF00182,Coronavirus packaging signal,,
RF00183,G-CSF factor stem-loop destabilising element (SLDE),,
RF00184,Potato virus X cis-acting regulatory element,,
RF00185,Flavivirus 3' UTR cis-acting replication element (CRE),,
RF00186,Small nucleolar RNA SNORD101,C/D,
RF00187,Small nucleolar RNA SNORD102,C/D,28S (G4020)
RF00188,Small nucleolar RNA SNORD103/SNORD85,C/D,18S (G601)
RF00189,Small nucleolar RNA SNORD95,C/D,28S (A2802 and C2811)
RF00190,Small nucleolar RNA SNORA16B/SNORA16A family,H/ACA,
RF00191,Small nucleolar RNA SNORA57,H/ACA,18S (U1004)
RF00192,Bovine leukaemia virus RNA packaging signal,,
RF00193,Citrus tristeza virus replication signal,,
RF00194,Rubella virus 3' cis-acting element,,
RF00195,RsmY RNA family,,
RF00196,Alfalfa mosaic virus RNA 1 5' UTR stem-loop,,
RF00198,SL1 RNA,,
RF00199,SL2 RNA,,
RF00200,Small nucleolar RNA Z199,C/D,18S/25S
RF00201,Small nucleolar RNA Z278,C/D,
RF00202,Small nucleolar RNA R66,C/D,18S
RF00203,Small nucleolar RNA R160,C/D,25S
RF00204,Small nucleolar RNA R12,C/D,25S
RF00205,Small nucleolar RNA R41,C/D,18S/25S
RF00206,Small nucleolar RNA U54,C/D,
RF00207,K10 transport/localisation element (TLS),,
RF00208,Small nucleolar RNA R72,C/D,25S
RF00209,Pestivirus internal ribosome entry site (IRES),,
RF00210,Aphthovirus internal ribosome entry site (IRES),,
RF00211,Small nucleolar RNA SNORD35,C/D,28S (C4506)
RF00212,Small nucleolar RNA SNORD38,C/D,28S
RF00213,Small nucleolar RNA R38,C/D,28S
RF00214,Retrovirus direct repeat 1 (dr1),,
RF00215,Tombus virus defective interfering (DI) RNA region 3,,
RF00216,c-myc internal ribosome entry site (IRES),,
RF00217,Small nucleolar RNA SNORD20,C/D,18S (U1804)
RF00218,Small nucleolar RNA SNORD46,C/D,28S
RF00220,Human rhinovirus internal cis-acting regulatory element (CRE),,
RF00221,Small nucleolar RNA SNORD43,C/D,18S
RF00222,Bag-1 internal ribosome entry site (IRES),,
RF00223,bip internal ribosome entry site (IRES),,
RF00224,FGF-2 internal ribosome entry site (IRES),,
RF00225,Tobamovirus internal ribosome entry site (IRES),,
RF00226,n-myc internal ribosome entry site (IRES),,
RF00227,FIE3 (ftz instability element 3') element,,
RF00228,Hepatitis A virus internal ribosome entry site (IRES),,
RF00229,Picornavirus internal ribosome entry site (IRES),,
RF00230,T-box leader,,
RF00231,Small Cajal body specific RNA 13,,
RF00232,Spi-1 (PU.1) 5' UTR regulatory element,,
RF00233,Tymovirus/Pomovirus tRNA-like 3' UTR element,,
RF00234,glmS glucosamine-6-phosphate activated ribozyme,,
RF00235,Plasmid RNAIII,,
RF00236,ctRNA,,
RF00237,mir-9/mir-79 microRNA precursor family,mir-9/mir-79,MI0000466/cancer-related
RF00238,ctRNA,,
RF00239,mir-124 microRNA precursor family,mir-124,MI0000443/targets anti-neural function protein SCP1
RF00240,RNA-OUT,,
RF00241,mir-8/mir-141/mir-200 microRNA precursor family,mir-8/mir-141/mir-200,MIPF0000019
RF00242,ctRNA,,
RF00243,traJ 5' UTR,,
RF00244,mir-26 microRNA precursor family,mir-26,MIPF0000043/expressed in neuronal tissue/low oxygen
RF00245,mir-19 microRNA precursor family,mir-19,MIPF0000011
RF00246,mir-135 microRNA precursor family,mir-135,MIPF0000028/targets the 3' untranslated region of the APC gene
RF00247,mir-160 microRNA precursor family,mir-160,MIPF0000032/targets auxin response factor genes
RF00248,mir-148/mir-152 microRNA precursor family,mir-148/mir-152,MI0000253/down regulates Dnmt3b
RF00249,mir-46/mir-47/mir-281 microRNA precursor family,mir-46/mir-47/mir-281,MI0000017
RF00250,Trans-activation response element (TAR),,
RF00251,mir-219 microRNA precursor family,mir-219,MIPF0000044
RF00252,Alfalfa mosaic virus coat protein binding (CPB) RNA,,
RF00253,mir-101 microRNA precursor family,mir-101,MIPF0000046
RF00254,mir-16 microRNA precursor family,mir-16,MIPF0000006
RF00255,mir-218 microRNA precursor family,mir-218,MIPF0000026
RF00256,mir-196 microRNA precursor family,mir-196,MIPF0000031
RF00257,mir-194 microRNA precursor family,mir-194,MIPF0000055
RF00258,mir-130 microRNA precursor family,mir-130,MIPF0000034/upregulated in a type of cancer called hepatocellular carcinoma
RF00259,Interferon gamma 5' UTR regulatory element,,
RF00260,Hepatitis C virus (HCV) cis-acting replication element (CRE),,
RF00261,L-myc internal ribosome entry site (IRES),,
RF00262,sar RNA,,
RF00263,Small nucleolar RNA SNORA68,H/ACA,28S (U4393)
RF00264,Small nucleolar RNA SNORA64/SNORA10 family,H/ACA,28S (U4491 and U4331)/ 18S (U210)
RF00265,Small nucleolar RNA SNORA69,H/ACA,5.8S/18S
RF00266,Small nucleolar RNA Z17,C/D,18S (U121)
RF00267,Small nucleolar RNA R64/Z200 family,C/D,
RF00268,Small nucleolar RNA snoZ7/snoR77,C/D,25S (A1372)
RF00270,Small nucleolar RNA SNORD61,C/D,18S (U1442)
RF00271,Small nucleolar RNA SNORD60,C/D,
RF00272,Small nucleolar RNA SNORA67,H/ACA,18S (U1445)
RF00273,Small nucleolar RNA SNORD59,C/D,18S (A1031)
RF00274,Small nucleolar RNA SNORD57,C/D,18S (A99)
RF00275,Small nucleolar RNA SNORD56,C/D,18S (C517)
RF00276,Small nucleolar RNA SNORD52,C/D,28S (U3904)
RF00277,Small nucleolar RNA SNORD49,C/D,28S (C4426)
RF00278,Small nucleolar RNA SNORD50,C/D,possibly involved in cancer
RF00279,Small nucleolar RNA SNORD45,C/D,
RF00280,Small nucleolar RNA SNORD51,C/D,28S (A1511)
RF00281,Small nucleolar RNA SNORD47,C/D,28S (C3866)
RF00282,Small nucleolar RNA SNORD48,C/D,28S (C2279)
RF00283,small Cajal body-specific RNA 18,,
RF00284,Small nucleolar RNA SNORD74,C/D,
RF00285,Z6 small nucleolar RNA,C/D,snRNA modification
RF00286,Small Cajal body specific RNA 8,,
RF00287,Small nucleolar RNA SNORD44,C/D,28S (A166)
RF00288,Z30 small nucleolar RNA,C/D,
RF00289,Small nucleolar RNA SNORD104,C/D,
RF00290,Bamboo mosaic potexvirus (BaMV) cis-regulatory element,,
RF00291,Small nucleolar RNA snoR639/H1,H/ACA,
RF00292,Small nucleolar RNA TBR5,C/D,
RF00293,Small nucleolar RNA snoM1,H/ACA,
RF00294,Small nucleolar RNA TBR17,C/D,
RF00295,Small nucleolar RNA TBR7,C/D,
RF00296,Small nucleolar RNA R16,C/D,
RF00300,Small nucleolar RNA Z221,C/D,
RF00301,Small nucleolar RNA Z256,C/D,
RF00302,Small nucleolar RNA SNORA65,H/ACA,28S (U4373 and U4427)
RF00303,Small nucleolar RNA snoR86,H/ACA,snRNA modification
RF00304,Small nucleolar RNA Z279/snoR105/snoR108,C/D,snRNA modification
RF00305,Small nucleolar RNA Z248,C/D,
RF00306,Small nucleolar RNA Z178,C/D,
RF00307,Small nucleolar RNA snoR98,H/ACA,snRNA modification
RF00309,Small nucleolar RNA snR60/Z15/Z230/Z193/J17,C/D,snRNA modification
RF00310,Small nucleolar RNA Z165,C/D,snRNA modification
RF00311,Small nucleolar RNA Z188,C/D,snRNA modification
RF00312,Small nucleolar RNA Z206,C/D,snRNA modification
RF00313,Small nucleolar RNA Z173,C/D,snRNA modification
RF00314,Small nucleolar RNA Z182,C/D,snRNA modification
RF00315,Small nucleolar RNA J33,C/D,snRNA modification
RF00316,Small nucleolar RNA R43,C/D,snRNA modification
RF00317,Small nucleolar RNA Z163/Z177 family,C/D,snRNA modification
RF00318,Small nucleolar RNA Z175,C/D,snRNA modification
RF00319,Small nucleolar RNA SNORA23,H/ACA,snRNA modification
RF00320,Small nucleolar RNA Z185,C/D,snRNA modification
RF00321,Small nucleolar RNA Z247,C/D,snRNA modification
RF00322,Small nucleolar RNA SNORA31,H/ACA,snRNA modification
RF00323,Small nucleolar RNA R79,C/D,snRNA modification
RF00324,Small nucleolar RNA MBII-202,C/D,snRNA modification
RF00325,Small nucleolar RNA SNORD53,C/D,28S (C3848)
RF00326,Small nucleolar RNA Z155,C/D,snRNA modification
RF00327,Small nucleolar RNA Z194,C/D,snRNA modification
RF00328,Small nucleolar RNA Z161/Z228,C/D,snRNA modification
RF00329,Small nucleolar RNA Z162,C/D,snRNA modification
RF00330,Small nucleolar RNA Z43,C/D,snRNA modification
RF00331,Small nucleolar RNA Z169,C/D,snRNA modification
RF00332,Small nucleolar RNA Z266,C/D,snRNA modification
RF00333,Small nucleolar RNA Z157/R69/R10,C/D,snRNA modification
RF00334,Small nucleolar RNA SNORA3/SNORA45 family,H/ACA,snRNA modification
RF00335,Small nucleolar RNA Z13/snr52,C/D,snRNA modification
RF00336,Small nucleolar RNA J26,C/D,snRNA modification
RF00337,Small nucleolar RNA Z112,C/D,snRNA modification
RF00338,Small nucleolar RNA snR53,C/D,snRNA modification
RF00339,Small nucleolar RNA snoR60,C/D,snRNA modification
RF00340,Small nucleolar RNA SNORA36 family,H/ACA,snRNA modification
RF00341,Small nucleolar RNA Z39,C/D,snRNA modification
RF00342,Small nucleolar RNA Z40,C/D,snRNA modification
RF00343,Small nucleolar RNA Z122,C/D,snRNA modification
RF00344,Small nucleolar RNA Z267,C/D,snRNA modification
RF00345,Small nucleolar RNA snoR1,C/D,snRNA modification
RF00348,Small nucleolar RNA snoR9,C/D,
RF00349,Small nucleolar RNA R11/Z151,C/D,snRNA modification
RF00350,Small nucleolar RNA Z152/R70/R12/,C/D,snRNA modification
RF00351,Small nucleolar RNA R20,C/D,snRNA modification
RF00352,Small nucleolar RNA R21,C/D,snRNA modification
RF00353,Small nucleolar RNA snoR31/Z110/Z27,C/D,snRNA modification
RF00355,Small nucleolar RNA snoR28,C/D,snRNA modification
RF00356,Small nucleolar RNA R32/R81/Z41,C/D,snRNA modification
RF00357,Small nucleolar RNA R44/J54/Z268 family,C/D,snRNA modification
RF00358,Small nucleolar RNA Z101,C/D,snRNA modification
RF00359,Small nucleolar RNA Z102/R77,C/D,snRNA modification
RF00360,Small nucleolar RNA Z107/R87,C/D,snRNA modification
RF00361,Small nucleolar RNA Z119,C/D,snRNA modification
RF00362,Pospiviroid RY motif stem loop,,
RF00363,mir-BART1 microRNA precursor family,mir-BART1,
RF00364,mir-BART2 microRNA precursor family,mir-BART2,
RF00365,mir-BHRF1-1 microRNA precursor family,mir-BHRF1-1,
RF00366,mir-BHRF1-2 microRNA precursor family,mir-BHRF1-2,
RF00367,mir-BHRF1-3 microRNA precursor family,mir-BHRF1-3,
RF00368,sroB RNA,,
RF00369,sroC RNA,,
RF00370,sroD RNA,,
RF00371,sroE RNA,,
RF00372,sroH RNA,,
RF00373,Archaeal RNase P,,
RF00374,Gammaretrovirus core encapsidation signal,,
RF00375,HIV primer binding site (PBS),,
RF00376,HIV gag stem loop 3 (GSL3),,
RF00377,Small nucleolar RNA U6-53/MBII-28,C/D,snRNA modification (U6)
RF00378,Qrr RNA,,
RF00379,ydaO/yuaA leader,,
RF00380,ykoK leader,,
RF00381,Antizyme RNA frameshifting stimulation element,,
RF00382,DnaX ribosomal frameshifting element,,
RF00383,Insertion sequence IS1222 ribosomal frameshifting element,,
RF00384,Poxvirus AX element late mRNA cis-regulatory element,
RF00385,Infectious bronchitis virus D-RNA,
RF00386,Enterovirus 5' cloverleaf cis-acting replication element,
RF00387,FGF-1 internal ribosome entry site (IRES),
RF00388,Qa RNA,
RF00389,Bamboo mosaic virus satellite RNA cis-regulatory element,
RF00390,UPSK RNA,
RF00391,RtT RNA,
RF00392,Small nucleolar RNA SNORA5,H/ACA
RF00393,Small nucleolar RNA SNORA8,H/ACA
RF00394,Small nucleolar RNA SNORA4,H/ACA
RF00396,Small nucleolar RNA SNORA13,H/ACA
RF00397,Small nucleolar RNA SNORA14,H/ACA
RF00398,Small nucleolar RNA SNORA15,H/ACA
RF00399,Small nucleolar RNA SNORA24,H/ACA
RF00400,Small nucleolar RNA SNORA28,H/ACA
RF00401,Small nucleolar RNA SNORA20,H/ACA
RF00402,Small nucleolar RNA SNORA25,H/ACA
RF00403,Small nucleolar RNA SNORA41,H/ACA
RF00404,Small nucleolar RNA SNORA46,H/ACA
RF00405,Small nucleolar RNA SNORA44,H/ACA
RF00406,Small nucleolar RNA SNORA42/SNORA80 family,H/ACA
RF00407,Small nucleolar RNA SNORA50,H/ACA
RF00408,Small nucleolar RNA SNORA1,H/ACA
RF00409,Small nucleolar RNA SNORA7,H/ACA
RF00410,Small nucleolar RNA SNORA2/SNORA34 family,H/ACA
RF00411,Small nucleolar RNA SNORA9,H/ACA
RF00412,Small nucleolar RNA SNORA21,H/ACA
RF00413,Small nucleolar RNA SNORA19,H/ACA
RF00414,Small nucleolar RNA SNORA22,H/ACA
RF00415,Small nucleolar RNA SNORA30/SNORA37 family,H/ACA
RF00416,Small nucleolar RNA SNORA43,H/ACA
RF00417,Small nucleolar RNA SNORA56,H/ACA
RF00418,Small nucleolar RNA SNORA58,H/ACA
RF00419,Small nucleolar RNA SNORA52,H/ACA
RF00420,Small nucleolar RNA SNORA61,H/ACA
RF00421,Small nucleolar RNA SNORA32,H/ACA
RF00422,Small Cajal body specific RNA 24,
RF00423,Small Cajal body specific RNA 4,
RF00424,Small Cajal body specific RNA 16,
RF00425,Small nucleolar RNA SNORA18,H/ACA
RF00426,Small Cajal body specific RNA 15,
RF00427,Small Cajal body specific RNA 23,
RF00428,Small nucleolar RNA SNORA38,H/ACA
RF00429,Small nucleolar RNA SNORA29,H/ACA
RF00430,Small nucleolar RNA SNORA54,H/ACA
RF00431,Small nucleolar RNA SNORA55,H/ACA
RF00432,Small nucleolar RNA SNORA51,H/ACA
RF00433,Hsp90 cis-regulatory element,,
RF00434,Luteovirus cap-independent translation element (BTE),,
RF00435,Repression of heat shock gene expression (ROSE) element,,
RF00436,UnaL2 LINE 3' element,,
RF00437,Hairy RNA localisation element (HLE),,
RF00438,Small nucleolar RNA SNORA33,H/ACA,
RF00439,Small nucleolar RNA SNORD87,C/D,
RF00440,Small nucleolar RNA SNORD37,C/D,
RF00441,Small nucleolar RNA Z242,C/D,snRNA modification
RF00442,ykkC-yxkD leader,,
RF00443,Small nucleolar RNA SNORA27,H/ACA,
RF00444,PrrF RNA,,
RF00445,mir-399 microRNA precursor family,mir-399,MIPF0000015/targets mRNAs coding for a phosphatase transporter
RF00446,mir-133 microRNA precursor family,mir-133,voltage gated K+ channel KCNQ1 is a target/neuronal polypyrimidine tract-binding protein
RF00447,Voltage-gated potassium-channel Kv1.4 IRES,,
RF00448,Epstein-Barr virus nuclear antigen (EBNA) IRES,,
RF00449,HIF-1 alpha IRES,,
RF00451,mir-395 microRNA precursor family,mir-395,MIPF0000016/targets ATP sulphurylases
RF00452,mir-172 microRNA precursor family,mir-172,MIPF0000035/targets APETALA2-like transcription factors
RF00453,Cardiovirus cis-acting replication element (CRE),,
RF00454,p27 cis-regulatory element,,
RF00455,mir-15 microRNA precursor family,mir-15,MIPF0000006
RF00456,mir-34 microRNA precursor family,mir-34,MIPF0000039
RF00457,Mnt IRES,,
RF00458,Cripavirus internal ribosome entry site (IRES),,
RF00459,Mason-Pfizer monkey virus packaging signal,,
RF00460,U1A polyadenylation inhibition element (PIE),,
RF00461,Vascular endothelial growth factor (VEGF) IRES A,,
RF00462,APC internal ribosome entry site (IRES),,
RF00463,Apolipoprotein B (apoB) 5' UTR cis-regulatory element,,
RF00464,mir-92 microRNA precursor family,mir-92,
RF00465,Japanese encephalitis virus (JEV) hairpin structure,,
RF00467,Rous sarcoma virus (RSV) primer binding site (PBS),,
RF00468,Hepatitis C virus stem-loop VII,,
RF00469,Hepatitis C stem-loop IV,,
RF00470,Togavirus 5' plus strand cis-regulatory element,,
RF00471,Small nucleolar RNA snR48,C/D,28S (Gm2788 and Gm2790)
RF00472,Small nucleolar RNA snR55/Z10,C/D,snRNA modification
RF00473,Small nucleolar RNA snR54,C/D,18S
RF00474,Small nucleolar RNA snR57,C/D,
RF00475,Small nucleolar RNA snR69,C/D,
RF00476,Small nucleolar RNA snR61/Z1/Z11,C/D,snRNA modification
RF00477,Small nucleolar RNA snR66,C/D,snRNA modification
RF00478,Small Cajal body specific RNA 6,,
RF00479,Small nucleolar RNA snR71,C/D,snRNA modification
RF00480,HIV Ribosomal frameshift signal,,
RF00481,Hepatitis C virus 3'X element,,
RF00482,Small nucleolar RNA F1/F2/snoR5a,H/ACA,snRNA modification
RF00483,Insulin-like growth factor II IRES,,
RF00484,Connexin-32 internal ribosome entry site (IRES),,
RF00485,Potassium channel RNA editing signal,,
RF00486,mir-129 microRNA precursor family,mir-129,MIPF0000073
RF00487,Connexin-43 internal ribosome entry site (IRES),,
RF00488,Yeast U1 spliceosomal RNA,,
RF00489,ctRNA,,
RF00490,S-element,,
RF00491,Simian virus 40 late polyadenylation signal (SVLPA),,
RF00492,small Cajal body-specific RNA 17,,
RF00493,Small nucleolar RNA U2-30,C/D,snRNA modification (U2)
RF00494,Small nucleolar RNA U2-19,C/D,snRNA modification (U2)
RF00495,Heat shock protein 70 (Hsp70) internal ribosome entry site (IRES),,
RF00496,Coronavirus SL-III cis-acting replication element (CRE),,
RF00498,Equine arteritis virus leader TRS hairpin (LTH),,
RF00499,Human parechovirus 1 (HPeV1) cis regulatory element (CRE),,
RF00500,Turnip crinkle virus (TCV) repressor of minus strand synthesis H5
RF00501,Rotavirus cis-acting replication element (CRE)
RF00502,Turnip crinkle virus (TCV) core promoter hairpin (Pr)
RF00503,RNAIII
RF00504,Glycine riboswitch
RF00505,RydC RNA
RF00506,Threonine operon leader
RF00507,Coronavirus frameshifting stimulation element
RF00509,Small nucleolar RNA snR64
RF00510,Tombusvirus internal replication element (IRE)
RF00511,Kaposi's sarcoma-associated herpesvirus internal ribosome entry site (IRES)
RF00512,Leucine operon leader
RF00513,Tryptophan operon leader
RF00514,Histidine operon leader
RF00515,PyrR binding site
RF00516,ylbH leader
RF00517,serC leader,,
RF00518,speF leader,,
RF00519,suhB,,
RF00520,ybhL leader,,
RF00521,SAM riboswitch (alpha-proteobacteria),,
RF00522,PreQ1 riboswitch,,
RF00523,Prion pseudoknot,,
RF00524,R2 RNA element,,
RF00525,Flavivirus DB element,,
RF00526,Small nucleolar RNA Me28S-U3344,C/D,28S (U3344)
RF00527,Small nucleolar RNA Me28S-Gm3255,C/D,28S (Gm3255)
RF00528,Small nucleolar RNA Me28S-Gm1083,C/D,28S (Gm1083)
RF00529,Small nucleolar RNA Me28S-Am2589,C/D,28S (Am2589)
RF00530,Small nucleolar RNA Me28S-Cm2645,C/D,28S (Cm2645)
RF00531,Small nucleolar RNA Me28S-Gm3113,C/D,28S (Gm3113)
RF00532,Small nucleolar RNA Me18S-Um1356,C/D,28S (U1356)
RF00533,Small nucleolar RNA Me18S-Gm1358,,
RF00534,SgrS RNA,,
RF00535,Small nucleolar RNA Me28S-Am982,C/D,28S (Am982)
RF00536,Small nucleolar RNA Me28S-Cm3227,C/D,28S (Cm3227)
RF00537,Small nucleolar RNA Me28S-Am2634,C/D,28S (Am2634)
RF00538,Small nucleolar RNA CD11,,
RF00539,Small nucleolar RNA Me28S-Cm788,C/D,28S (Cm788)
